,,,,,,,
,,,,,,,
Site Name,Services Delivered at Site,Health Center Type,Health Center Location Type,Health Center Location Setting,County,State,Grant #
Grace SBHC Flat Lick Elem,Yes,Service Delivery Site,Permanent,School,Knox County,KY,H80CS09959
Wesley Health Centers - San Julian Oasis,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS06673
Via Care Whittier Dental Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS26617
Peninsula Community Health Services - North Mason School District Clinic,Yes,Service Delivery Site,Permanent,School,Mason County,WA,H80CS00677
SCHC Mobile Clinic,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Kenai Peninsula Borough,AK,H80CS47461
Mobile Unit #2: Care Resource Community Health Centers at Midtown,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Miami-Dade County,FL,H80CS12864
ODA Mobile,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Kings County,NY,H80CS00064
Mary Todd Elementary HealthFirst Bluegrass School Clinic,Yes,Service Delivery Site,Seasonal,School,Fayette County,KY,H80CS28202
PanCare Health - Panama City,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bay County,FL,H80CS06452
Physicians for Women and Families DBA Women's Health Mobile Clinic,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Floyd County,KY,H80CS00619
ARcare - 099,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pope County,AR,H80CS00207
Green County High Healthy Kids Clinic,Yes,Service Delivery Site,Permanent,School,Green County,KY,H80CS08218
PMS - Artesia Family Health Center PSR,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Eddy County,NM,H80CS00205
Perry A. Klaassen Family Medical Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Oklahoma County,OK,H80CS00320
NorthShore Gary Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lake County,IN,H80CS02458
"Community Health & Dental Care, Inc.",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Chester County,PA,H80CS24147
THUNDER BAY COMMUNITY HEALTH SERVICE - FAIRVIEW,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Oscoda County,MI,H80CS00402
Christ Community Health: Olde Town CHC,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Richmond County,GA,H80CS24172
TUG RIVER HEALTH CENTER,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,McDowell County,WV,H80CS00701
Palm Desert Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Riverside County,CA,[No Data]
Ridge Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cuyahoga County,OH,H80CS00665
Cairo Diagnostic Center Site,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Alexander County,IL,H80CS00680
Wahiawa Health - Behavioral Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Honolulu County,HI,[No Data]
Cempa Dental Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hamilton County,TN,[No Data]
Center South,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS26621
ARcare - 23,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Izard County,AR,H80CS00207
AUNT MARTHA'S WOMEN'S HLTH CTR,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL,H80CS00685
Ezra Medical Center Administration,No,Administrative,Permanent,All Other Clinic Types,Kings County,NY,H80CS24164
CommUnityCare Mays Crossing,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Williamson County,TX,H80CS11298
Inverness-Behavioral Health Hub,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Citrus County,FL,H80CS00412
East McAndrews Suite 102,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Jackson County,OR,H80CS04204
"Diversity Health Center, Inc.-301 Fraser Dr.",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Liberty County,GA,H80CS08780
Manet at Taunton--(Suite 140),Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bristol County,MA,H80CS00453
Copiah Comprehensive Health Complex,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Copiah County,MS,H80CS00084
AccessHealth Daniels Elementary School-Based Clinic,Yes,Service Delivery Site,Seasonal,School,Raleigh County,WV,H80CS00345
WAYNE COMMUNITY HEALTH HANKSVILLE,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Wayne County,UT,H80CS00519
CLINICA SIERRA VISTA - East Niles Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kern County,CA,H80CS00540
HCHC-El Monte,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS26618
ReGenesis Health Care - Arcadia Elementary,Yes,Service Delivery Site,Seasonal,School,Spartanburg County,SC,H80CS00298
Health Connections at Walton Avenue,No,Administrative,Permanent,Unknown,Bronx County,NY,H80CS00472
CORNELL SCOTT-HILL HEALTH CORPORATION,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,South Central Connecticut Planning Region,CT,H80CS00312
Primary Health Care at East High School,Yes,Service Delivery Site,Permanent,School,Polk County,IA,H80CS00715
Lowell Elementary School,Yes,Service Delivery Site,Seasonal,School,Missoula County,MT,H80CS00528
Bullhook Community Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Hill County,MT,H80CS08219
Community Care Pediatrics of Buckhannon,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Upshur County,WV,H80CS00080
Altura Centers Health Mobile Clinic 2,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Tulare County,CA,H80CS00338
Fair Haven Community Health Care at Bishop Woods School,Yes,Service Delivery Site,Seasonal,School,South Central Connecticut Planning Region,CT,H80CS00741
RKM Primary Care Springfield,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Livingston Parish,LA,H80CS06459
Christ House,Yes,Service Delivery Site,Permanent,All Other Clinic Types,District of Columbia,DC,H80CS00070
Compass Health - Herculaneum,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Jefferson County,MO,H80CS26563
WellOne Primary Medical and Dental Care Specialty Care Building,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Providence County,RI,H80CS00308
GOSHEN MEDICAL CENTER - ELIZABETHTOWN MOBILE UNIT,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Bladen County,NC,H80CS00181
KATAHDIN NURSING HOME,Yes,Service Delivery Site,Permanent,Nursing Home,Penobscot County,ME,H80CS02450
Woodford County High Healthy Kids Clinic,Yes,Service Delivery Site,Permanent,School,Woodford County,KY,H80CS08218
PMS - Cuba Elementary School,Yes,Service Delivery Site,Seasonal,School,Sandoval County,NM,H80CS00205
Variety Care Portland,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Oklahoma County,OK,H80CS00543
Clinica Family Health & Wellness -- Norton Center for Behavioral Medicine,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Boulder County,CO,H80CS00690
"Centro de Servicios Primarios de Salud de Patillas, Inc. - Maunabo Satellite Clinic",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Maunabo Municipio,PR,H80CS00747
Family Circle of Care Family Dentistry,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Smith County,TX,H80CS26190
VANDERBILT AREA SCHOOL,Yes,Service Delivery Site,Permanent,School,Otsego County,MI,H80CS00402
Open Door Health Services Blackford County,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Blackford County,IN,H80CS00340
ACHCH Lifelong Downtown South Berkeley Street Health Team Zone 13 Mobile Health Unit,Yes,Administrative/Service Delivery Site,Mobile Van,All Other Clinic Types,Alameda County,CA,H80CS00047
Community First Health Centers - Algonac,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,St. Clair County,MI,H80CS00497
Aaron E Henry - Quitman School Base Clinic,Yes,Service Delivery Site,Seasonal,School,Quitman County,MS,H80CS00480
Meridian Health Services Corp,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Wells County,IN,H80CS26567
COUNTY HEALTH CLINIC - LOMPOC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Santa Barbara County,CA,H80CS00046
CHN MDC Padrón,Yes,Service Delivery Site,Permanent,School,Miami-Dade County,FL,H80CS04214
Riverside Medical Services 3300,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Manatee County,FL,H80CS00097
Waterbury Health & Wellness Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Naugatuck Valley Planning Region,CT,H80CS29001
Comprehensive Life Resources Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pierce County,WA,H80CS00481
Prism Health North Texas at Farmers Branch Dental Health Center,Yes,Service Delivery Site,Permanent,School,Dallas County,TX,[No Data]
Nancy Lopez Elementary School Based Dental,Yes,Service Delivery Site,Seasonal,School,Chaves County,NM,H80CS00404
San Ysidro Health Maternal & Child Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Diego County,CA,H80CS10748
Whittier Engagement Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Suffolk County,MA,H80CS00536
Juniper Health Breathitt County Elementary,Yes,Service Delivery Site,Permanent,School,Breathitt County,KY,H80CS04203
"Uptown Community Health Center, Inc. Seton Women's Center",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Denver County,CO,[No Data]
Waianae Coast Comprehensive Health Center - Accounting and Human Resources,No,Administrative,Permanent,Unknown,Honolulu County,HI,H80CS00807
City of Cincinnati Health Department/Administration Offices/Ambrose H. Clement,No,Administrative,Permanent,All Other Clinic Types,Hamilton County,OH,H80CS25683
MMC Nahunta,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Brantley County,GA,H80CS00506
Delphi Community High School,Yes,Service Delivery Site,Seasonal,School,Carroll County,IN,H80CS12846
East Georgia Healthcare Center - Wadley,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Jefferson County,GA,H80CS00507
Proctorville Health Care Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lawrence County,OH,H80CS00471
"Fenway Health, Ansin Building",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Suffolk County,MA,H80CS00303
Mound City Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Holt County,MO,H80CS00671
"Family Health Care Clinic, Woodville--Head Start",Yes,Service Delivery Site,Seasonal,All Other Clinic Types,Wilkinson County,MS,H80CS00487
"Community Health Care, Inc. Rock Island Clinic",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Rock Island County,IL,H80CS00670
Trojan Academy Healthy Kids Clinic,Yes,Service Delivery Site,Permanent,School,Barren County,KY,H80CS08218
Scenic Bluffs Health Centers Inc- REACH LaCrosse,Yes,Service Delivery Site,Permanent,All Other Clinic Types,La Crosse County,WI,H80CS00824
Wards Island Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,New York County,NY,H80CS01765
Broadway Dental Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cuyahoga County,OH,[No Data]
Spectrum Community Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Philadelphia County,PA,H80CS00389
Winding Waters Wallowa,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Wallowa County,OR,H80CS29023
Mobile Trailer #3,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Scott County,IA,H80CS00670
Banyan Community Health Center 3850 Miami,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Miami-Dade County,FL,H80CS28344
FLORIDA RHI PROJECT,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Florida Municipio,PR,H80CS00162
COMMUNITY HEALTH CENTERS GUADALUPE,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Santa Barbara County,CA,H80CS00621
Tarzana Treatment Centers- Antelope Valley Family Medical Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,[No Data]
"PrimaryOne Health 3480 Refugee Road, Columbus, OH 43232",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Franklin County,OH,H80CS00118
Van Nuys Adult Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS00139
LYNN VOCATIONAL TECH HIGH SCHOOL,Yes,Service Delivery Site,Permanent,School,Essex County,MA,H80CS00624
CareSouth Carolina Bennettsville Women's Services,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Marlboro County,SC,H80CS00654
SANOS Mobil Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Caguas Municipio,PR,H80CS22687
Community HealthNet at E.C. Central,Yes,Service Delivery Site,Permanent,School,Lake County,IN,[No Data]
Costa Salud Community Health Centers - Moca,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Moca Municipio,PR,H80CS00356
Fox Township Dental Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Elk County,PA,H80CS00688
Coastal Health & Wellness - TCISD SBHC Calvin Vincent,Yes,Service Delivery Site,Permanent,School,Galveston County,TX,H80CS00344
COMMUNITY HEALTH CENTERS CAMBRIA,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Luis Obispo County,CA,H80CS00621
"Community Health Systems, Inc.",No,Administrative,Permanent,Unknown,Riverside County,CA,H80CS00222
SHAGELUK CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Yukon-Koyukuk Census Area,AK,H80CS00447
LCHC Dental,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Comanche County,OK,H80CS08779
Aiken High School,Yes,Service Delivery Site,Permanent,School,Hamilton County,OH,H80CS25683
Winter School District,Yes,Service Delivery Site,Seasonal,School,Sawyer County,WI,H80CS08784
Nutter Fort Intermediate School Wellness Center,Yes,Service Delivery Site,Seasonal,School,Harrison County,WV,H80CS00080
Kintegra at Mt. Holly Middle,Yes,Service Delivery Site,Permanent,School,Gaston County,NC,H80CS00293
Colonial Administrative,No,Administrative,Permanent,Unknown,Lee County,FL,H80CS00185
Operation Outreach Homeless Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Shelby County,TN,H80CS00881
HASC Diagnostic and Treatment Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kings County,NY,[No Data]
SBHC-Mazama High,Yes,Service Delivery Site,Permanent,School,Klamath County,OR,H80CS00233
Riverstone Clinic,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Lane County,OR,H80CS01443
"Curtis V. Cooper Primary Health Care, Inc.",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Effingham County,GA,H80CS00082
Hampshire High School,Yes,Service Delivery Site,Seasonal,School,Hampshire County,WV,H80CS00563
Patient Benefits Enrollment Office,No,Administrative,Permanent,Unknown,Cook County,IL,H80CS24103
Community Health Care Center - Centerville School,Yes,Service Delivery Site,Seasonal,School,Cascade County,MT,H80CS32521
HealthNet Administration Northeast,No,Administrative,Permanent,All Other Clinic Types,Marion County,IN,H80CS00114
Cornell Scott-Hill Health Center at “Q” House 2nd Floor,Yes,Service Delivery Site,Permanent,All Other Clinic Types,South Central Connecticut Planning Region,CT,H80CS00312
Anderson Co. Middle Healthy Kids Clinic,Yes,Service Delivery Site,Permanent,School,Anderson County,KY,H80CS08218
ALPENA ADMINISTRATIVE SITE EXECUTIVE ADMIN,No,Administrative,Permanent,Unknown,Alpena County,MI,H80CS00402
"Chase Brexton Health Services, Inc. - Mt. Vernon Center",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Baltimore City,MD,H80CS00734
Ontario Archibald,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Bernardino County,CA,H80CS26624
Administrative Offices,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Ravalli County,MT,H80CS28359
Fulton Schools,Yes,Service Delivery Site,Seasonal,School,Gratiot County,MI,H80CS28352
Logan Heights Patient Care Support Services,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Diego County,CA,H80CS00224
PanCare Health Mobile Unit #12,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Gulf County,FL,H80CS06452
Upham's Corner Health Center - Business & Human Resources Office,No,Administrative,Permanent,All Other Clinic Types,Suffolk County,MA,H80CS29010
St. Michaels Middle/High School,Yes,Service Delivery Site,Seasonal,School,Talbot County,MD,H80CS00176
LCHC @ Lincoln-Erdman Elementary,Yes,Service Delivery Site,Seasonal,School,Sheboygan County,WI,H80CS24152
Chestnut Family Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,McLean County,IL,H80CS24130
Laurel Health Railroad Street Mansfield,No,Administrative,Permanent,Unknown,Tioga County,PA,H80CS00682
"ChapCare by AltaMed Medical Group – El Monte, Vacco",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS00142
Sea Mar CHC - Tillicum Community Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pierce County,WA,H80CS00445
Northeast Community Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS12869
Oak Orchard Health Dental at Albion,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Orleans County,NY,H80CS00170
"Camillus Health Concern, Greer Building",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Miami-Dade County,FL,H80CS00026
San Ysidro Health Urgent Care,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Diego County,CA,H80CS10748
Adult and Child Health - Greenwood,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Marion County,IN,[No Data]
HealthHut - Woonsocket Middle School,Yes,Service Delivery Site,Seasonal,School,Providence County,RI,H80CS00454
Colebrook Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Coos County,NH,H80CS00508
Centerpoint Health Middletown,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Butler County,OH,H80CS26577
PCC Walk-In Wellness Center at West Suburban Medical Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL,H80CS00276
SJCH Leavey Community Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS00873
M.S. 424,Yes,Service Delivery Site,Permanent,School,Bronx County,NY,H80CS00368
"Mainline Health Systems, Inc. Specialty Services",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Drew County,AR,H80CS00638
Plexus Health | Kershaw,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lancaster County,SC,H80CS26597
CHN at Hammond Central High,Yes,Service Delivery Site,Permanent,School,Lake County,IN,[No Data]
Fremont County Pediatrics and Community Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Fremont County,WY,H80CS00564
Morningside Healthy Kids Clinic,Yes,Service Delivery Site,Permanent,School,Hardin County,KY,H80CS08218
Chestertown Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kent County,MD,H80CS00176
Petaluma Eye Care Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Sonoma County,CA,H80CS00587
"Mid-Delta Health Systems, Inc. - DeWitt",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Arkansas County,AR,H80CS17147
"CASSE-Shreveport Pediatrics, OB/GYN, Dentistry, and Behavioral Health",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Caddo Parish,LA,H80CS26579
Juniper Health Morgan County,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Morgan County,KY,H80CS04203
SBHC - Westside Academy (Blodgett),Yes,Service Delivery Site,Permanent,Domestic Violence,Wrangell City and Borough,XX,H80CS00434
Royal City Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Grant County,WA,H80CS00147
CENTROMED SARAH E DAVIDSON CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bexar County,TX,H80CS00758
Ebensburg Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cambria County,PA,H80CS00663
BEARDEN HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Ouachita County,AR,H80CS00342
SJCH - Roosevelt High School-Based Health Center,Yes,Service Delivery Site,Permanent,School,Los Angeles County,CA,H80CS00873
Northwest Community Health Care d/b/a WellOne Primary Medical and Dental Care,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Washington County,RI,H80CS00308
WAYSIDE CROSS MINISTRIES,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kane County,IL,H80CS00685
Trimble High School Behavioral Health Clinic,Yes,Service Delivery Site,Seasonal,School,Athens County,OH,H80CS00193
"TREASURE COAST COMMUNITY HEALTH, INC. South County",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Indian River County,FL,H80CS00187
Brownsville Middle School,Yes,Service Delivery Site,Seasonal,School,Miami-Dade County,FL,H80CS00732
Mid-State Health Center - Littleton Dental Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Grafton County,NH,H80CS26640
Program for All-Inclusive Care for the Elderly (PACE) Site,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Essex County,MA,H80CS00624
Healthy Beginnings French Camp,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Joaquin County,CA,[No Data]
Park DuValle at Pleasure Ridge Park Health Center,Yes,Service Delivery Site,Seasonal,School,Jefferson County,KY,H80CS00083
Institute for Population Health Mobile Clinic,Yes,Administrative/Service Delivery Site,Mobile Van,All Other Clinic Types,Wayne County,MI,H80CS33654
Wesley Health Centers - Downey,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS06673
Lakewood,No,Administrative,Permanent,Unknown,Ocean County,NJ,H80CS00281
Clarity Healthcare,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Montgomery County,MO,H80CS26512
